"sp","(Intercept)","Mn3","M3P","K3","Al3","l.dbh","l.light"
"laetpr",-0.184984460109972,-0.0795734733536835,0.0413066706695989,-0.019833641839986,-0.0827950526329399,0.225100271639748,0.465615922667101
"laetth",-0.64428271756438,-0.0561363562730643,0.0520427529487898,-0.019833641839986,-0.0827950526329399,0.123203841654921,0.327690154393367
"licahy",-1.06866547469923,-0.0505716173087197,0.0428714757409223,-0.019833641839986,-0.0827950526329399,0.149884345907901,0.256980050945369
"licapl",-0.950308115358308,-0.049307492749134,0.0419151854805513,-0.019833641839986,-0.0827950526329399,0.0576343598246166,0.213746884815112
"lindla",-1.02623944488905,-0.0473095165996162,0.0373578055073267,-0.019833641839986,-0.0827950526329399,-0.0422376622946582,0.245130573913854
"loncla",-0.690553787307849,-0.0617135925478733,0.0301011323045969,-0.019833641839986,-0.0827950526329399,-0.0719518644077988,0.529694476740969
"luehse",-0.848292471621692,-0.0391203725163245,0.029928994731555,-0.019833641839986,-0.0827950526329399,-0.14226486415285,0.520707295767391
"macrgl",-0.892197012855042,-0.0618755081910635,0.0234320306562493,-0.019833641839986,-0.0827950526329399,0.288983523073983,0.109812031831938
"malmsp",-1.10930631219581,-0.0996396378062951,0.0443931490193995,-0.019833641839986,-0.0827950526329399,-0.104533746108963,0.0491326213067124
"malpro",-1.11932989909862,-0.0507645891253585,0.0326554416735932,-0.019833641839986,-0.0827950526329399,0.134862717409924,0.222673608838895
"maquco",-0.731804149910985,-0.0900877246037157,0.041828992296409,-0.019833641839986,-0.0827950526329399,-0.204182638751293,0.421330977893418
"maytsc",-0.766193160153264,-0.0593125717427012,0.0456059329899669,-0.019833641839986,-0.0827950526329399,0.239578784607869,0.285188862146879
"micoaf",-0.00925377371117631,-0.0670478303845527,0.0354554500406713,-0.019833641839986,-0.0827950526329399,0.368482713874996,0.427782415671538
"micoar",0.123621946348734,-0.0880102818848592,0.039490907766525,-0.019833641839986,-0.0827950526329399,0.176678698416406,0.59695889989728
"micoho",0.016990080159811,-0.0913419176706604,0.0405329902066853,-0.019833641839986,-0.0827950526329399,0.139592797898523,0.521524461934699
"micone",-0.286226838362374,-0.0842044536443459,0.0538181602761078,-0.019833641839986,-0.0827950526329399,0.337719426807881,0.264074477882723
"mourmy",-0.997929526732617,-0.0471894543933193,0.0685926522042708,-0.019833641839986,-0.0827950526329399,0.161138943632894,0.0961010900970027
"myrcga",-0.26250177915812,-0.077962584385632,0.0448116723943606,-0.019833641839986,-0.0827950526329399,0.239828568574268,0.354093360445161
"nectci",0.00542356923398601,-0.0813050553572816,0.0426932614345995,-0.019833641839986,-0.0827950526329399,0.224455370654632,0.510968761415278
"nectgl",0.0355607197982563,-0.0912966489156456,0.0419468000805507,-0.019833641839986,-0.0827950526329399,0.283986158315569,0.432397580179271
"nectpu",-0.089319742828865,-0.091126557144899,0.040430401667257,-0.019833641839986,-0.0827950526329399,0.168770925479283,0.526763604418966
"neeaam",-1.08694292284457,-0.0585645361949521,0.0393595068176262,-0.019833641839986,-0.0827950526329399,0.198417035218766,0.0714023379858997
"ocotce",-0.269751806180058,-0.0855944189230911,0.0352090873025336,-0.019833641839986,-0.0827950526329399,0.138251370247254,0.315799420393087
"ocotob",0.278739698627454,-0.102626225944844,0.0415438643805772,-0.019833641839986,-0.0827950526329399,0.174212991330514,0.603726030018252
"ocotpu",0.0421974174272355,-0.0912024738922278,0.0507362807344222,-0.019833641839986,-0.0827950526329399,0.294207494843758,0.461040135548114
"ocotwh",0.140363293932159,-0.107628579394026,0.0470519805100234,-0.019833641839986,-0.0827950526329399,0.141879412327925,0.392385438739064
"olmeas",-0.753213734054036,-0.0511238256789909,0.0367200590227821,-0.019833641839986,-0.0827950526329399,-0.0845517451965691,0.314721281458102
"ormocr",-0.622968299055954,-0.0886046080748126,0.0416921399206209,-0.019833641839986,-0.0827950526329399,-0.0958145065120802,0.191045446404303
"ormoma",-1.11531113141745,-0.0653605882753024,0.0462907547389559,-0.019833641839986,-0.0827950526329399,0.0545090120980099,0.127701217449803
"ouralu",-1.48854165494257,-0.0375399377176814,0.0344265825237264,-0.019833641839986,-0.0827950526329399,-0.146117396635905,0.146180313575327
"paligu",0.773449974814643,-0.117829818476942,0.0516400421906964,-0.019833641839986,-0.0827950526329399,0.427411995952147,0.519391466630847
"pentma",-1.16914668722429,-0.0392573176619362,0.0317754380189332,-0.019833641839986,-0.0827950526329399,-0.121394653330025,0.270662248018041
"perexa",-0.722492620676287,-0.0487411671872876,0.0298334171368183,-0.019833641839986,-0.0827950526329399,0.123098601598114,0.355367511308628
"phoeci",-0.00656675250656491,-0.0886674003096178,0.0389643265479541,-0.019833641839986,-0.0827950526329399,0.262109533409845,0.557555120381929
"picrla",-0.993200599265604,-0.0688070145304687,0.0315155274771612,-0.019833641839986,-0.0827950526329399,0.149588924601173,0.0952419523224969
"pipeco",-0.692536431180893,-0.0635030876221055,0.0443627463733932,-0.019833641839986,-0.0827950526329399,0.147106566783406,0.326843121058164
"pipere",-0.730211161204717,-0.0503253801434671,0.0329921586324078,-0.019833641839986,-0.0827950526329399,0.111738177961979,0.342992195963716
"pit1ma",0.0851313235546143,-0.0992212060979981,0.0439965883674114,-0.019833641839986,-0.0827950526329399,0.216373835454183,0.479998222429974
"pla1pi",-0.718818135279589,-0.0619129470793849,0.0405964821596209,-0.019833641839986,-0.0827950526329399,0.0717569223921775,0.260868839465161
"pla2el",-0.684683922623193,-0.0631159129805155,0.0335350673894414,-0.019833641839986,-0.0827950526329399,0.109461779225073,0.232544929764911
"pochse",-1.0692013972415,-0.0446086288715571,0.037345160247616,-0.019833641839986,-0.0827950526329399,0.0527740159540726,0.248723151337432
"posola",-0.988157986398123,-0.0735552620963025,0.0287310019581987,-0.019833641839986,-0.0827950526329399,-0.0739788951448779,0.333038752748939
"poular",-0.429226494825391,-0.0693833591712772,0.0288077098527925,-0.019833641839986,-0.0827950526329399,-0.0935640464847848,0.527927813210746
"pourbi",0.10062543975501,-0.0920236061676432,0.0394599628737183,-0.019833641839986,-0.0827950526329399,0.245483082113541,0.576103806259894
"poutre",-0.940411804859152,-0.0472474070561039,0.0311057619286891,-0.019833641839986,-0.0827950526329399,0.384393112461722,0.357403716445551
"poutst",-0.966209421684325,-0.0320571306132594,0.0218105765866903,-0.019833641839986,-0.0827950526329399,-0.0238159869059635,0.309891695683768
"pri2co",-0.958261322587711,-0.0921539211539148,0.0465175686851782,-0.019833641839986,-0.0827950526329399,0.568901021605548,0.0379530255298946
"protco",-0.490866090018793,-0.0688513060887083,0.0214777342507636,-0.019833641839986,-0.0827950526329399,-0.188432522538602,0.682970406799565
"protpa",-0.901777993303172,-0.0977477037218674,0.0323886420055721,-0.019833641839986,-0.0827950526329399,-0.0738878616005162,0.39047993441204
"protte",-0.700997481145153,-0.0678345377447536,0.0572335966078903,-0.019833641839986,-0.0827950526329399,0.148130334356314,0.337969952512664
"pse1se",-0.0943202015435763,-0.0874933756337163,0.0383242372262031,-0.019833641839986,-0.0827950526329399,0.10291380403838,0.510968909540909
"psidfr",-0.983546140131937,-0.0412212798195286,0.0308651465589198,-0.019833641839986,-0.0827950526329399,-0.0330850660532327,0.416157816915663
"psycg1",-0.937577226114442,-0.0549582155480132,0.0377202246353316,-0.019833641839986,-0.0827950526329399,0.0330764969058143,0.247212263827511
"psycg3",-0.385689523791093,-0.0888085061427901,0.0404521894500154,-0.019833641839986,-0.0827950526329399,0.0585057421459611,0.472304427855852
"psycho",-1.18619157413878,-0.0253284918798956,0.0404232884619427,-0.019833641839986,-0.0827950526329399,0.142824645935072,0.073916377775372
"psycli",-0.489520605041765,-0.0768540539971796,0.0435150011833755,-0.019833641839986,-0.0827950526329399,0.281597634000305,0.297084242620511
"psycma",-0.781207770586273,-0.0537523883916411,0.0334537964243241,-0.019833641839986,-0.0827950526329399,0.27954889325623,0.0812195124094062
"pterro",-0.97737125865501,-0.0717361622313698,0.0373461176775363,-0.019833641839986,-0.0827950526329399,-0.0793237510265796,0.410767544868528
"quaras",-0.914167393033722,-0.0622978006850417,0.0363398397974109,-0.019833641839986,-0.0827950526329399,0.439692948026125,0.154243332976473
"quasam",-1.44037855323808,-0.0215078323587785,0.023220615308593,-0.019833641839986,-0.0827950526329399,-0.194557221412642,0.257765570907137
"randar",-1.0508374440048,-0.0625011656409711,0.0243620972595074,-0.019833641839986,-0.0827950526329399,0.0894295642831438,0.190214505327336
"rinosy",-1.19928629912839,-0.0505089656028496,0.0212907287860432,-0.019833641839986,-0.0827950526329399,-0.128534644350751,0.176371272489475
"sapiau",-0.438660887261665,-0.075786155150375,0.030920158713653,-0.019833641839986,-0.0827950526329399,-0.0256124279007804,0.436949508553002
"sennda",-0.0211678156488337,-0.0875586587754985,0.036713628871754,-0.019833641839986,-0.0827950526329399,0.0315680292853561,0.571831124990493
"simaam",-0.0333101569631776,-0.0908371039016009,0.0742700011241586,-0.019833641839986,-0.0827950526329399,0.220620334643254,0.481308385154951
"sipapa",-0.620786063715837,-0.0593886589011941,0.00361978728661202,-0.019833641839986,-0.0827950526329399,-0.169264755221122,0.442695985438196
"sloate",-1.43905157497789,-0.0145225548421014,0.0238172962461077,-0.019833641839986,-0.0827950526329399,0.18845014182464,0.147873562475688
"solaha",0.156321393272934,-0.0937369072887922,0.0371420392580127,-0.019833641839986,-0.0827950526329399,0.175958089616026,0.598566376235178
"soroaf",-1.12950069588554,-0.063933503216586,0.0255037877448777,-0.019833641839986,-0.0827950526329399,-0.16974768703338,0.2167933591678
"sponmo",-0.38743607942681,-0.0577054458583379,0.0282892709256455,-0.019833641839986,-0.0827950526329399,0.130679755440849,0.441607920773611
"sponra",-0.734127828967744,-0.0287778077270452,0.027932056988408,-0.019833641839986,-0.0827950526329399,0.0256599537912904,0.553663377469563
"sterap",-0.32870846236577,-0.074533072305188,0.0403742877515358,-0.019833641839986,-0.0827950526329399,0.129095767509513,0.486189255845424
"stylst",-1.27367625564444,0.0302403788983935,0.039355606391046,-0.019833641839986,-0.0827950526329399,-0.268000436296548,0.217699535357733
"swars1",-1.08210680268192,-0.047679004777636,0.0416342441381325,-0.019833641839986,-0.0827950526329399,0.256016130925584,0.108656485729553
"sympgl",-0.242887952719943,-0.0977296281837349,0.0417320351630615,-0.019833641839986,-0.0827950526329399,0.162753057250051,0.337279630521703
"tab1gu",-1.12498514107441,-0.0392793616614681,0.0307709651238623,-0.019833641839986,-0.0827950526329399,0.138943153485271,0.297184292258833
"tab1ro",-0.890131411642698,-0.0905182997863053,0.0165783205257389,-0.019833641839986,-0.0827950526329399,-0.0685606284583875,0.533039892289527
"tab2ar",-0.540796255533195,-0.0921583135716795,0.0414033078115651,-0.019833641839986,-0.0827950526329399,0.19493646414492,0.549896227718687
"tachve",-0.631045258616734,-0.0707208931796694,0.0658666392262719,-0.019833641839986,-0.0827950526329399,0.356555267266851,0.248922216747045
"taline",-1.49779684440498,-0.0741260301608642,-0.000638900753569954,-0.019833641839986,-0.0827950526329399,-0.529648819239529,0.228901449375179
"talipr",-1.37043148154329,-0.0435271349735132,0.0450778275407134,-0.019833641839986,-0.0827950526329399,-0.244293075825567,0.163098082697668
"termam",-0.484290499263163,-0.0887627390186261,0.0419129968072659,-0.019833641839986,-0.0827950526329399,0.0584454294116414,0.366207255054446
"termob",-0.688000789519555,-0.0579534351097875,0.0284973981943028,-0.019833641839986,-0.0827950526329399,0.132212220600002,0.417326242569933
"tet2pa",-1.12890994226907,-0.0222957451110561,0.0620877129611502,-0.019833641839986,-0.0827950526329399,0.294612899813515,0.214334240674984
"theoca",-1.27552995591766,-0.0420935222958884,0.0460163600281696,-0.019833641839986,-0.0827950526329399,0.0375518208818821,0.129176676707818
"thevah",-0.763892341060513,-0.0787160453776372,0.0468351781397376,-0.019833641839986,-0.0827950526329399,-0.0342008439254062,0.263104909120064
"tratas",-0.501146615184611,-0.0703087130833201,0.0316199390781065,-0.019833641839986,-0.0827950526329399,0.00934497433050706,0.493054104088115
"tri2pa",-0.581913256877541,-0.0756551106546292,0.00253172135024939,-0.019833641839986,-0.0827950526329399,0.014019114773182,0.39024435701001
"tri2tu",-0.898817435974913,-0.0412199987713663,0.0349160814144667,-0.019833641839986,-0.0827950526329399,0.280953503669252,0.100366013155013
"tripcu",-0.539909810658059,-0.0523567148723656,0.0377756721969147,-0.019833641839986,-0.0827950526329399,-0.251234753197004,0.487980044877645
"tropra",-1.17768835240384,-0.0525172548288623,0.0150943650585146,-0.019833641839986,-0.0827950526329399,-0.132410114480105,0.358460183418356
"turpoc",-0.0140596884353363,-0.0899269737216884,0.0403072577700249,-0.019833641839986,-0.0827950526329399,0.102015509123883,0.495336803486514
"unonpi",-0.516983069958065,-0.0782293602567044,0.022783305108093,-0.019833641839986,-0.0827950526329399,-0.130328510371505,0.56211943929333
"virose",-0.740286738827081,-0.0504855082596153,0.0355141171954994,-0.019833641839986,-0.0827950526329399,0.0703939708777396,0.505188624711439
"virosp",-0.0749056951685123,-0.0870421990716149,0.0448468451269277,-0.019833641839986,-0.0827950526329399,0.328897329702746,0.418458966637573
"virosu",-0.214075622363721,-0.084152037315251,0.031648019079894,-0.019833641839986,-0.0827950526329399,0.159224338323033,0.536713274157453
"vismba",-0.0496772193277352,-0.092324941596447,0.0367870139098119,-0.019833641839986,-0.0827950526329399,0.0776994746660729,0.527186238120318
"vochfe",-0.133957284176579,-0.091922228183113,0.0476618270486703,-0.019833641839986,-0.0827950526329399,0.293740186244313,0.423240428172857
"xyl1ma",-0.156867833937288,-0.117685977069868,0.0544654865826351,-0.019833641839986,-0.0827950526329399,0.205151559643674,0.170975242790989
"xyl2ol",-1.50004606480722,-0.0331230823773406,0.0291048227819792,-0.019833641839986,-0.0827950526329399,-0.167202978415464,0.221946383773222
"zantbe",-0.11116627401783,-0.0743844983075516,0.0341014988779495,-0.019833641839986,-0.0827950526329399,0.13794903960664,0.635765373434013
"zantp1",-0.190997128018175,-0.0685028643428797,0.0354795352672502,-0.019833641839986,-0.0827950526329399,-0.0256511729298607,0.683273571575127
"zantpr",-0.692910369643678,-0.055791224693162,0.0271882912821107,-0.019833641839986,-0.0827950526329399,0.0678497508989224,0.509210739507696
"zuelgu",-1.0512928013735,-0.0509097497332269,0.0407424011882296,-0.019833641839986,-0.0827950526329399,0.0882041574256813,0.222213665694091
