"gx","gy","M3P","M3Al","M3Mn","M3K","pH_water","M3Ca"
9,30,2.82,618.8,325.4,118.2,5.52,2671.7
9,70,2.11,741.8,146,244,5.77,890.8
9,110,2.2,677.9,276.6,145,5.66,2039.7
9,150,2.33,794.6,252.4,83.7,5.34,1204.3
9,190,2.19,930.2,275.2,57.7,5.36,697.7
9,230,1.59,596.9,232.7,39.9,5.69,1327.9
9,270,2.13,1036.9,312.9,52.5,5.01,621.8
9,310,2.52,802.5,266.2,52.4,5.61,1094.6
9,350,1.98,492.7,229.1,57.3,6.13,1660.3
9,390,2.55,1149.5,338.6,65.4,5.42,1029.8
9,430,2.12,988,189.1,64,5.41,958.9
9,470,1.82,551.7,309.5,69.7,5.79,2260
29,10,2.07,1062.8,185.6,50,5.35,891.3
29,50,2.34,768.9,164.3,158.3,5.96,1741.8
29,90,2.42,1234.2,182.1,48.3,4.89,453
29,130,2.24,748.3,581.9,98.3,6.46,3090
29,170,2.2,942.6,357,79.6,5.44,933.3
29,210,1.63,785.8,307.1,47.2,5.59,1036.7
29,250,2.67,1207.1,370.4,61.1,5.37,948.6
29,290,2.14,892,305.3,35.7,5.64,989.4
29,330,2.25,822,468.7,54.4,5.95,1468.2
29,370,2.12,840.1,261,54.3,5.93,1197.8
29,410,2.78,866.1,164.3,45.6,5.62,908.3
29,450,1.66,338.4,81.7,137.6,5.83,1472.1
29,490,2.08,567.6,275.4,63.4,6.15,1997.7
49,30,2.37,547.4,114.8,102.9,6.32,3110.9
49,70,2.68,688.4,133.9,172.4,6.03,1391.9
49,110,1.52,731.4,205.2,67,5.83,1019.1
49,150,1.91,775.9,230.6,82.7,5.48,954.8
49,190,1.87,725.9,236.9,112.3,5.55,770.6
49,230,2.36,701.5,254.8,50.1,5.43,1000.3
49,270,1.64,737.1,282.8,48.4,5.46,852.9
50,311,2.98,1023.9,231.3,55.8,4.78,1038.5
49,350,2.3,771.8,248,72.5,5.63,864.9
49,390,3.11,924.8,324.3,86.2,5.77,1914.7
49,430,2.48,1130.5,267.5,66.5,5.14,499.7
49,470,1.07,388.3,155.6,35.8,6.1,1657.6
69,10,2.6,967.1,178.6,65.1,5.48,1606.4
69,50,3.38,652.8,290.4,100.4,6.35,2662.4
69,90,2.17,987.3,127.2,75.5,5.9,1334.4
69,130,2.63,690.7,500,170,5.09,3088.9
69,170,2.49,944.7,417.7,153.8,5.74,1177.9
69,210,2.5,1054.6,198.4,162.8,5.09,515.7
69,250,1.8,1042.1,527.1,109.5,5.88,1605.4
69,290,2.67,631.1,254.2,57.9,6.11,2138.5
69,330,2.89,856.6,380.2,52.3,5.69,1376.7
69,370,2.33,614.3,172.1,49.8,5.61,1075.5
69,410,2.52,900,201.2,73.4,5.71,1082.7
69,450,2.98,470.4,250.3,54.6,6.15,2049.8
70,491,2.82,516.5,156.6,41.2,6.22,1896.6
89,30,3.88,602.2,149.4,90,5.49,1249.5
89,70,3.08,755.4,226.5,67.7,6,1772.9
89,110,3.99,646.8,180.7,101.8,5.74,1308.6
89,150,2.32,788.7,165,91,5.18,681.9
89,190,2.19,837.7,196.4,46.6,5.16,701.5
89,235,2.15,1019.2,281.3,83.4,5.16,526.6
89,270,2.32,667.6,284.6,72.5,6.41,1788.6
89,310,2.34,973.6,304.5,51.3,5.41,1164.9
89,350,1.94,525.2,152.9,38.8,5.77,745.8
90,391,4.86,320.6,324,165.3,6.64,5170
89,430,3.19,797.9,292.6,98.2,5.99,1921.5
89,470,1.54,766.1,92.3,50.2,5.88,880.4
109,10,2.45,942,329.6,65.3,5.22,484.3
109,50,6.31,832.9,292.1,160.7,5.87,1961.1
109,90,2.71,1107.2,295.5,68.3,5.29,822.7
109,130,2.5,1184.6,548.1,89.4,4.79,542.4
109,170,2.42,980.4,284.6,87.5,5.79,1340.5
109,210,1.89,1161.3,328.9,41.6,5.07,891.5
109,250,2.42,1031.9,548.1,199.8,5.59,1479.2
110,291,2.35,663.9,223,56.2,5.96,1366
109,330,2.67,1147.7,355.4,75.3,5.31,929.3
109,370,2.16,909.9,294.8,55.3,5.24,648.3
109,410,5.15,636.2,156.8,195.9,6.24,1496.2
109,450,2.05,626.8,211.7,84,6.13,1362
109,490,2.02,719.7,132.9,111,5.81,951.5
129,30,2.39,719.8,267.3,63.8,5.4,846.6
129,70,2.77,1030,256.8,107.6,5.66,770.5
130,111,2.82,805.1,263.7,62.4,5.66,1307.9
129,150,2.86,913.7,159.3,79.5,5.22,635.2
129,190,1.79,924.3,221.9,44.4,5.28,631
129,230,2.29,1093.9,178.6,54.1,4.72,191.3
129,270,1.81,605.7,220.6,56.1,5.83,1222.1
129,310,2.2,786.7,125.1,35,4.61,569
129,350,2.2,683.5,243.3,80.7,5.56,974
129,390,3.1,1066.5,360.5,187.6,5.69,1749.6
129,430,2.18,916,442.6,65.8,6.19,1988.4
129,470,3.42,591.1,153.5,80.5,5.79,1659.6
149,10,2.36,1153.8,356.3,106.3,5.09,576.9
149,50,1.9,1130.9,559.5,47,5.57,683.4
149,90,2.37,893.6,393.6,97.2,5.68,1271.1
149,130,2.51,706.5,243.6,58.5,5.4,2254.3
150,171,2.49,1056.1,394.5,134.9,5.88,1499.7
149,210,2.68,830,222.4,60.9,5.87,1885.8
149,250,2.88,737.3,300.3,134.1,6.02,1638.9
149,290,1.98,1122.3,251.2,37.8,4.8,195.8
144,330,2.6,1200.7,295.9,88.6,4.78,343.4
149,370,1.8,770.6,290.8,46.9,5.88,1439.2
149,410,2.17,877,288.8,84.6,5.72,909
149,450,1.93,613.2,236.3,57,5.82,1128.5
149,490,2.64,698,170.3,54.8,5.8,1138.9
169,30,1.8,661.5,247.5,40.7,5.89,1369
169,70,3.29,756.7,293.8,102.2,5.97,1153.2
169,110,2.76,1045.3,170.7,53.5,5.1,581.4
169,150,1.58,652,167.8,34.9,6.13,1249.8
169,190,3.28,994.4,200.3,75.4,5.34,627.7
169,230,2.54,1201.2,87.4,38.1,4.96,273.5
169,270,4.01,1039.8,146.1,69.2,4.91,469.1
169,310,2.7,1024.3,272,61.7,5.01,734.3
169,350,2.77,738,242.8,122.2,5.24,818.8
169,390,1.67,1190.2,470.9,63.1,5.43,1184.9
169,430,2.63,1151.5,334,49.1,5.46,1109.2
169,470,2.58,933,275.4,139.2,5.37,1106.1
189,10,1.85,801.5,462.1,73.5,6.1,1736.1
189,50,2.99,912.8,620.1,117.9,6.1,2186.2
189,90,2,1263.9,471.1,107.7,5.6,964.6
189,130,2,1036.2,349.7,56.8,5.28,848.4
189,170,3.16,976.5,202.3,58.8,5.1,684.4
189,210,2.99,949.1,155.3,67.6,5.81,1271.1
189,250,3.44,1232.2,126.3,71.8,4.58,311.5
190,291,3.12,603.2,163,148.5,6.11,1794.3
189,330,2.8,778.2,535.3,75.1,6.02,2305.2
189,370,2.58,807.3,202.9,58.3,5.27,1385.9
189,410,3.44,1074.7,217.1,102.9,5.26,763.2
189,450,4.1,1268.1,359.5,118.2,4.92,587.9
189,490,3.31,1111.5,211.4,117.8,5.31,885.6
209,30,2.1,602.2,242.6,91.4,6.25,1557
209,70,2.39,850,291.8,119.7,6.16,1501
209,110,2.57,646.3,396.6,55.9,6.17,2443.6
209,150,3.19,640.4,113.7,40.6,6.17,1775.8
209,190,3.31,945.8,123.1,74.7,5.4,1167.4
209,230,5.05,664.1,33.2,76.4,5.36,1218.6
209,270,3.06,857.1,51.2,72.1,5.64,1182.5
209,310,2.63,665.5,145.3,118.8,5.76,1077.3
209,350,1.89,1005.3,186.2,56.4,4.98,366.6
209,390,2.76,945.8,227.4,125.2,5.35,1402.6
209,430,2.7,1251.6,354.5,56.1,4.73,291.8
209,470,2.85,1125.7,257.7,128,5.1,370.1
230,11,2.73,823.2,365.8,70.1,5.81,1421.6
229,50,2.38,773.4,669.8,104.8,6.12,2385.4
229,90,2.75,1260.1,425.6,73.1,4.99,465.4
224,130,3.97,946.3,490.8,84.4,5.91,2310.8
229,170,2.23,1090.8,303.2,33.3,4.93,184.7
229,210,2.5,1200.1,193,36,5.49,783.1
229,250,9.77,929.3,84.4,82.2,6.08,2831
229,290,2.96,864,148.7,86.1,5.24,868.6
229,330,2.75,1325.9,250.3,55.5,5.48,1056.7
229,370,2.95,921.6,296.9,187.1,5.68,1485.3
229,410,2.36,821.6,206,110.9,5.63,1086.3
229,450,2.89,529.6,150.6,396.8,5.99,1476.6
229,490,2.57,686.7,261.2,158.6,6.19,1600.9
249,30,1.91,788.6,348.1,42.1,5.65,992.1
249,70,6.2,703.2,524.3,201.8,6.82,4779.8
249,110,2.21,1103.1,436.6,66.2,5.24,544.9
249,150,3.4,881.3,291.6,58.3,5.7,1384.3
249,190,3.36,912.1,228.6,197.2,5.48,640.6
244,230,2.44,752,134.4,36,5.83,898.3
249,270,3.73,944.6,60.3,57.3,5,254.8
249,310,2.02,897.3,241.3,57.6,5.48,1311.7
249,350,3.09,819.6,190.1,46,5.47,968.9
249,390,1.36,1386,435.1,51.6,5.27,660.8
249,430,2.77,994.2,289,87.1,5.81,1279.5
249,470,3.08,608.9,255.4,57.9,6.73,2569.9
269,10,2.69,687.6,617.6,82.6,6.17,2695.9
270,51,4.32,703.4,642.1,155.7,6.34,3637.3
269,90,2.76,1079.6,489.2,65.7,5.08,983.7
269,130,4.06,1225.1,429.6,55.1,5.85,1660.9
269,170,2.97,998.4,427.6,61,5.53,961.8
269,210,4.34,939.4,257.8,108.3,5.71,1464.6
269,250,17.69,1368.1,63.5,91,5.23,963.3
269,290,15.05,1034.9,4.6,39.3,5.22,475.9
269,330,2.24,719.8,359.1,47,5.93,1673.2
269,370,2.97,861,373.7,74,5.27,1362.7
269,410,2.09,604.1,335.8,165.2,6.4,1697.2
269,450,2.09,1044.4,319.9,71.5,5.06,543.2
264,490,2.15,839.7,320.6,65.5,5.71,1222
284,30,1.8,430.7,91.9,118.9,6.85,2624.7
289,70,2.22,596,281.6,40.2,6.61,2883.9
284,110,5,522,294.8,58.2,6.96,3641
289,150,4.32,931.5,203.8,52.4,5.13,556.8
284,190,3.61,1115.3,222.9,52.7,5.07,536.1
284,230,2.89,928.7,51.6,52.2,4.99,341.1
289,270,5.7,896.5,23.5,52.3,5.05,393
284,310,11.57,917.8,5.5,50.7,5.13,571.7
289,350,2.41,791.2,236.8,46.6,5.38,877.7
289,390,1.87,737.6,428.1,58.7,6.54,2555.3
289,430,2.25,778.3,330,171.9,6.33,1736.4
289,470,2.22,948.2,292.8,152.9,5.41,807.8
309,10,1.28,866.1,430.6,57.5,6.06,1212.7
309,50,1.99,856.4,402.2,144.9,6.33,1758.5
309,90,2.19,949.3,460.6,71.5,5.67,1243.7
309,130,2.69,1361.7,154.9,52.2,4.68,531.7
309,170,2.98,1031,451.2,61.4,5.37,895.6
309,210,3.19,853.4,330.7,44.9,5.55,1015.1
309,250,2.24,1278.1,146.3,40.3,5,601
309,290,7.6,1236.3,17.6,31.1,5.06,201.4
309,330,3.95,1190.8,128.7,63.1,4.98,832.9
309,370,2.02,1013.1,204,48.7,4.75,310.5
309,410,2.78,651.7,259,84.2,5.75,1251
309,450,2.08,772,355.2,46.8,5.98,1434.8
311,490,3.68,674.1,276.9,345.3,6.13,2475.4
329,30,1.49,819.8,233.4,37.9,5.57,719.1
329,70,2.36,967,339.3,59.5,6.01,1294.1
329,110,1.76,906.4,379,37.4,5.71,1107.6
329,150,4.37,1147.4,268,48.4,5.26,667.1
329,190,4.6,1270.8,118.5,61.5,4.87,564.2
329,230,4.24,657.8,142.2,154.2,6.13,1264.2
329,270,2.72,406.3,22.9,55.9,5.85,1203
329,310,3.98,1088.1,47.6,48.7,4.92,610
329,350,2.53,965.3,137.7,48.9,4.97,472.7
329,390,2.42,1215,256.9,98.8,5.29,944.3
329,430,2.26,927.3,272.6,80,5.46,781.8
329,470,2.25,900.3,175.2,64.8,5.17,582.9
349,10,2.33,814.7,341.2,94.8,5.73,1358.8
349,50,3.44,651.9,400.6,139.5,6.08,2753.5
349,90,2.52,894.8,468,53.2,5.87,1776.7
350,131,3,1080.1,255.7,41.2,5.22,780.4
349,170,3.02,1217.2,210.5,46.5,4.77,231.4
349,210,5,1287.7,48.9,37.9,5,480.1
349,250,1.81,1411.3,53.2,28,5.12,532.1
349,290,3.94,915.1,31.3,69.6,5.28,460.2
349,330,3.73,1391.9,272.8,96.3,5.93,1858.7
349,370,4.36,1146.8,195.8,100,5.39,907.4
349,410,2.61,846.3,196,45.3,5.49,916.4
349,450,2.18,337.7,164.1,132.8,6.67,2330.4
349,490,2.13,775.9,290.4,152.4,6,1415.2
370,31,1.33,444.2,206.2,73.1,6.77,2878.4
369,70,2.72,744.4,254.4,131.3,5.98,1345.8
369,110,2.82,1047.6,449,53.3,5.23,495.4
369,150,3.5,994.9,171.6,50.8,5.52,831.1
369,190,3.21,1172.1,103.4,31.7,4.96,285.9
364,230,5.59,698.3,79,100.6,5.06,1449.1
369,270,8.87,1046,28.5,49.1,5.07,543.5
369,310,1.69,777.3,74.7,64.5,5.65,705.6
369,350,3.33,1002.8,134.2,47.5,5.62,812.3
369,390,2.78,1044.6,346.1,98.3,5.85,1421
369,430,9.42,941.6,361,143,5.66,1183
369,470,2.77,818.6,257.1,53.4,6,1895.1
389,10,2.68,582.1,469.8,164.3,6.3,2536.9
389,50,1.58,1031.6,366.5,45.2,5.42,1236.6
389,90,2.6,1161.6,357.5,72,5.38,766.5
389,130,4.2,963.6,484.5,76.2,6.29,2521.3
389,170,6.97,742.4,159.8,265.1,6.17,1832.1
389,210,3.38,1005.7,99.9,64.6,5.52,784.8
389,250,9.36,983.6,46.1,109.3,5.69,2478.1
389,290,3.24,585.5,75.6,62.4,5.72,1541.6
389,330,2.46,1155.4,321.8,146.8,4.93,324.3
389,370,3.54,1088.2,156.5,62.2,6.66,351
389,410,3.77,582.1,345,376,6.77,3056.2
389,450,2.97,747.9,183.1,48.9,5.13,338.3
389,490,3.01,658,137.6,239.9,6.35,1664.9
409,30,1.69,567.1,157.9,81.4,5.87,1343.7
409,70,2.08,788,158.8,57.2,5.55,1001.2
409,110,3.44,702.4,228.3,100.4,6.33,2197.2
409,150,5.01,945.2,135.6,73.2,5.88,1342.6
409,190,2.62,996.5,141.6,97.9,5.87,846.9
409,230,11.82,1087.1,23.5,69.3,5.2,662
409,270,4.66,876.6,11.9,32.9,5.16,426.2
409,310,3.88,458.3,210.5,183.4,6.03,1678.1
409,350,2.52,732.9,206.3,151,5.55,840.1
409,390,3.93,1103.9,143.6,74.7,5.54,1358.4
409,430,2.45,878.4,165.2,79.8,5.74,1282.2
409,470,2.59,827.2,182.8,191.8,5.7,1000.9
429,10,5.87,674,362.4,128.4,5.98,2404.2
429,50,2.23,928.3,368.6,79.3,5.75,1515.2
429,90,2.49,1042.1,353.9,77.3,5.59,988
429,130,3.23,1260.3,240,126.8,5.5,1213.1
429,170,4.04,1118.5,66.4,134.4,5.3,566.7
429,210,2.89,1052.9,19.8,87.4,5.46,906.1
429,250,5.22,982.5,34.7,58.5,5.35,1195.3
429,290,2.49,743.2,65.5,51,5.58,878
429,330,2.22,1093.7,293.1,72.3,5.38,541.4
429,370,6.07,602.3,104.4,248.2,6.41,2765.6
429,410,2.1,748.3,287,42.2,5.63,1036.2
429,450,1.93,680.8,113.7,107.9,5.69,919.8
429,490,2.73,920.1,227.8,131.6,5.73,841.3
449,30,1.9,346,190.4,72,6.67,2693
449,70,2.48,892.8,200.7,37.5,5.36,334.7
449,110,2.03,828.5,269.4,53.8,5.77,1114.4
449,150,3.04,901.4,108,64.4,5.61,750.5
449,190,3.92,814.2,145.9,97.3,5.96,2175.8
449,230,10.64,1024.3,6.1,70.6,4.95,342.4
449,270,4.43,863.8,8.5,63,5.22,571.6
449,310,1.59,564,110.5,63.3,5.72,1159.9
449,350,2.55,681.4,115.3,193.5,6.15,1445.6
449,390,2.41,1111.5,249.3,53.9,5.63,1381.2
449,430,2.95,832.1,177.7,67.9,5.32,1482.6
449,470,2.03,639.2,106.3,85,5.9,1417.2
469,10,1.51,772.9,463.5,90.1,6.13,1816.9
469,50,1.95,1005.8,445.8,88.2,5.77,1523.9
469,90,2.29,834.7,315.7,95,5.61,1170.9
469,130,2.58,1298.4,349.9,92.3,5.34,754
469,170,2.46,882.8,181.9,41.9,5.8,1332.8
469,210,2.49,903.3,158,34.2,5.5,825.1
469,250,17.52,366,81.7,180,6.74,6514
469,290,2.72,779,139.6,118.2,5.12,472
469,330,2.54,712.7,273.4,134.4,6.17,1850.9
469,370,2.41,866.8,286.6,60.1,5.5,858.5
469,410,2.29,699.6,97.9,46.5,5.11,257.1
469,450,3.01,493.3,118.1,253.2,6.46,1647.1
469,490,3.59,729.5,37.5,54.8,4.95,499.6
489,30,1.72,565.7,233.3,78.3,6.1,1360.6
489,70,2.71,532.4,272.5,72.6,6.48,1952.7
489,110,2.94,643.4,188.3,57.1,5.47,1627.4
489,150,1.7,536.6,114.9,100.1,6.26,2001.5
489,190,3.58,881.7,108.1,182,5.35,772.4
489,230,2.32,699.2,83.3,34.8,5.43,914.7
489,270,2.16,788.7,86,126.6,5.86,1026
489,310,2.08,551.9,119.7,90.9,5.17,974.1
489,350,2.3,850.6,155.6,61.8,5.16,601.2
489,390,2.16,691.8,518.2,72.2,6.95,4223.7
489,430,2.08,999.4,260.8,51,5.36,652.9
489,470,1.7,722.7,100.5,44.4,5.74,1142
510,11,2.42,733.6,493,188.4,5.96,2017.6
509,50,2.2,674.4,289.9,53.4,5.93,1881.2
